,note_name,start_time,duration,velocity,tempo
782,F#6,180.0,0.5,112,124
783,F#4,180.01,99/100,96,124
784,F#3,180.01,399/100,120,124
785,E-6,180.51,99/100,120,124
786,E-6,180.51,99/100,112,124
787,C#4,181.01,99/100,96,124
788,F#6,181.51,99/100,120,124
789,F#6,181.51,99/100,112,124
790,E-4,182.01,99/100,96,124
791,B-6,182.51,99/100,120,124
792,B-6,182.51,99/100,112,124
793,F#4,183.01,99/100,96,124
794,G#6,183.51,6/25,120,124
795,G#6,183.51,6/25,112,124
796,B-6,183.76,6/25,120,124
797,B-6,183.76,6/25,112,124
798,G#4,184.01,99/100,96,124
799,B6,184.01,49/100,100,124
800,C#4,184.01,49/100,100,124
801,C#3,184.01,49/100,116,124
802,B6,184.01,49/100,116,124
803,C#3,184.51,99/100,120,124
804,B-6,184.51,49/100,112,124
805,B-6,184.51,49/100,100,124
806,C#4,184.51,49/100,100,124
807,G#6,185.01,49/100,120,124
808,C#4,185.01,99/100,96,124
809,G#6,185.01,49/100,112,124
810,F#6,185.51,99/100,120,124
811,E-3,185.51,49/100,120,124
812,F#6,185.51,99/100,112,124
813,E-4,186.01,99/100,96,124
814,E-3,186.01,99/100,120,124
815,E-6,186.51,99/100,120,124
816,E-6,186.51,99/100,112,124
817,C#4,187.01,99/100,96,124
818,E4,187.01,49/100,80,124
819,E3,187.01,49/100,120,124
820,G#6,187.51,49/100,100,124
821,E4,187.51,49/100,100,124
822,E3,187.51,49/100,116,124
823,G#6,187.51,49/100,116,124
824,G#6,188.0,0.5,100,124
825,E4,188.0,0.5,100,124
826,E3,188.0,0.5,116,124
827,G#6,188.0,0.5,116,124
828,F#4,188.01,99/100,96,124
829,G#6,188.51,99/100,120,124
830,F#3,188.51,149/100,120,124
831,G#6,188.51,99/100,112,124
832,C#4,189.01,99/100,96,124
833,B-6,189.51,99/100,120,124
834,B-6,189.51,99/100,112,124
835,E-4,190.01,99/100,96,124
836,F#4,190.01,49/100,80,124
837,F#3,190.01,49/100,120,124
838,F#6,190.51,149/100,120,124
839,F#4,190.51,49/100,80,124
840,F#3,190.51,49/100,120,124
841,F#6,190.51,149/100,112,124
842,F#4,191.01,99/100,112,124
843,F#3,191.51,49/100,120,124
844,F#4,192.0,2.0,112,124
845,F#6,192.0,2.0,120,124
846,F#3,192.0,2.0,120,124
847,F#6,192.0,2.0,112,124
848,G#5,194.01,199/100,120,124
849,G#6,194.01,199/100,116,124
850,G#4,194.01,199/100,116,124
851,G#5,196.0,4.0,120,124
852,G#6,196.0,4.0,116,124
853,G#4,196.0,4.0,116,124
854,G#5,200.0,2.0,120,124
855,G#6,200.0,2.0,116,124
856,G#4,200.0,2.0,116,124
